        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption [% TDP] , PerfCap Reason [] , VDDC [V] ,
2018-07-05 13:56:40 ,             1188.9   ,               1350.0   ,               31.0   ,              33   ,                1737   ,            544   ,          0   ,                        1   ,                 100   ,                    0   ,                     8.8   ,               8   , 1.1500   ,
2018-07-05 13:56:41 ,             1188.9   ,               1350.0   ,               31.0   ,              33   ,                1736   ,            544   ,          0   ,                        1   ,                 100   ,                    0   ,                     8.8   ,               8   , 1.1500   ,
2018-07-05 13:56:42 ,              135.0   ,                202.5   ,               31.0   ,              33   ,                1773   ,            555   ,          0   ,                        2   ,                 100   ,                    0   ,                     9.2   ,              16   , 0.9430   ,
2018-07-05 13:56:43 ,             1188.9   ,               1350.0   ,               31.0   ,              33   ,                1768   ,            565   ,          0   ,                        1   ,                 100   ,                    0   ,                     8.8   ,               8   , 1.1500   ,
2018-07-05 13:56:44 ,             1188.9   ,               1350.0   ,               32.0   ,              33   ,                1735   ,            565   ,         21   ,                       16   ,                 100   ,                    0   ,                    24.4   ,               8   , 1.1500   ,
2018-07-05 13:56:45 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1736   ,            565   ,         32   ,                       25   ,                 100   ,                    0   ,                    24.3   ,               8   , 1.1500   ,
2018-07-05 13:56:46 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1734   ,            565   ,         33   ,                       25   ,                 100   ,                    0   ,                    24.9   ,               8   , 1.1500   ,
2018-07-05 13:56:47 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1766   ,            565   ,         32   ,                       25   ,                 100   ,                    0   ,                    24.5   ,               8   , 1.1500   ,
2018-07-05 13:56:48 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1763   ,            565   ,         33   ,                       25   ,                 100   ,                    0   ,                    25.3   ,               8   , 1.1500   ,
2018-07-05 13:56:49 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1760   ,            565   ,         33   ,                       25   ,                 100   ,                    0   ,                    25.1   ,               8   , 1.1500   ,
2018-07-05 13:56:50 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1764   ,            565   ,         33   ,                       25   ,                 100   ,                    0   ,                    24.9   ,               8   , 1.1500   ,
2018-07-05 13:56:51 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1733   ,            565   ,         33   ,                       25   ,                 100   ,                    0   ,                    25.2   ,               8   , 1.1500   ,
2018-07-05 13:56:52 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1731   ,            565   ,         33   ,                       25   ,                 100   ,                    0   ,                    23.9   ,               8   , 1.1500   ,
2018-07-05 13:56:53 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1732   ,            565   ,         27   ,                       21   ,                 100   ,                    0   ,                    24.1   ,               8   , 1.1500   ,
2018-07-05 13:56:54 ,             1188.9   ,               1350.0   ,               34.0   ,              33   ,                1732   ,            565   ,         32   ,                       25   ,                 100   ,                    0   ,                    25.4   ,               8   , 1.1500   ,
2018-07-05 13:56:55 ,             1188.9   ,               1350.0   ,               33.0   ,              33   ,                1735   ,            565   ,         32   ,                       25   ,                 100   ,                    0   ,                    24.8   ,               8   , 1.1500   ,
2018-07-05 13:56:56 ,             1188.9   ,               1350.0   ,               34.0   ,              33   ,                1769   ,            566   ,         50   ,                       34   ,                 100   ,                    0   ,                    33.6   ,               8   , 1.1500   ,
2018-07-05 13:56:57 ,             1188.9   ,               1350.0   ,               34.0   ,              33   ,                1769   ,            566   ,         50   ,                       34   ,                 100   ,                    0   ,                    31.8   ,               8   , 1.1500   ,
2018-07-05 13:56:58 ,             1188.9   ,               1350.0   ,               34.0   ,              33   ,                1742   ,            566   ,         52   ,                       35   ,                 100   ,                    0   ,                    33.7   ,               8   , 1.1500   ,
2018-07-05 13:56:59 ,             1188.9   ,               1350.0   ,               35.0   ,              33   ,                1745   ,            566   ,         52   ,                       35   ,                 100   ,                    0   ,                    32.1   ,               8   , 1.1500   ,
2018-07-05 13:57:00 ,             1188.9   ,               1350.0   ,               35.0   ,              33   ,                1765   ,            566   ,         52   ,                       35   ,                 100   ,                    0   ,                    34.0   ,               8   , 1.1500   ,
